name,pharmacy_number,city,address,phone,opening_hours
"Новамедика №1","1","Минск","ул. Шабаны, 5, пом 2Н","+375172301969","Пн-Пт 8.00-20.00; Сб-Вс 9.00-18.00"
"Новамедика №2","2","Минск","ул. П. Глебки, д. 64а","+375173534075","Пн-Вс 9.00-20.00"
"Новамедика №3","3","Горки","ул. Дзержинского, д. 2-62","+375223377046","Пн-Пт 8.00-19.00; Сб-Вс 9.00-16.00"
"Новамедика №4","4","Могилев","пр. Шмидта, д. 3б","+375222423384","Пн-Пт 10.00-19.00; Сб-Вс 10.00-18.00"
"Новамедика №5","5","Могилев","б-р Непокоренных, д. 72","+375222247443","Пн-Пт 8.00-20.00; Сб-Вс 10.00-18.00"
"Новамедика №6","6","Минск","ул. Холмогорская, д. 51-74","+375173179940","Пн-Пт 9.00-19.00; Сб-Вс 10.00-18.00"
"Новамедика №7","7","Минск","ул. Платонова, д. 33 корп. 1, пом.1Н","+375173615792;+375172905791","Пн-Пт 9.00-19.00; Сб 10.00-18.00; Вс - выходной"
"Новамедика №8","8","Минск","ул. Тухачевского, д. 9-6","+375173904450","Пн-Пт 9.00-19.00; Сб-Вс 10.00-18.00"
"Новамедика №9","9","Марьина Горка","ул. Буденного, д. 23","+375171351040","Пн-Пт 9.00-18.00; Сб 8.00-16.00; Вс - выходной"
"Новамедика №10","10","Минск","ул. Неманская, д. 18-1Н","+375173552690;+375173572700","Пн-Вс 9.00-21.00"
"Новамедика №12","12","Ждановичи","сан. Белорусочка","","Пн-Пт 9.30-16.00; Сб/Вс - выходной"
"Новамедика №13","13","Горки","пр. Интернациональный, д. 6-34","+375223370790","Пн-Пт 9.00-20.00; Сб-Вс 9.00-16.00"
"Новамедика №14","14","Ратомка","ул. Перспективная, д.12","+375175125091;+375175125092","Пн-Вс 9.30-20.30"
"Новамедика №15","15","Горки","ул. Мира, д.35","+375223371504","Пн-Пт 9.00-19.00; Сб-Вс 9.00-16.00"
"Новамедика №16","16","Мачулищи","ул. Гвардейская, д. 13","+375175161476;+375175161478","Пн-Пт 8.00-20.00; Сб 9.00-19.00"
"Новамедика №17","17","Брест","ул. Гоголя, д. 1Г-95","+37516548569;+37516548568","Пн-Пт 9.00-20.00; Сб 10.00-18.00; Вс 10.00-16.00"
"Новамедика №18","18","Минск","ул. Сторожевская, д. 15","+375172097167","Пн-Вс 9.00-18.00"
"Новамедика №19","19","Минск","ул. Каменногорская, д. 34-108","+375173547181","Пн-Пт 8.00-21.00; Сб 10.00-18.00; Вс - выходной"
"Новамедика №20","20","Орша","ул. Владимира Ленина, д. 53","+375216535678","Пн-Пт 8.00-20.00; Сб 10.00-18.00; Вс - выходной"
"Новамедика №22","22","Дзержинский р-н","М-1, 320-й км, 8","+375171667082","Вт-Сб 7.30-16.30; Пн/Вс - выходной"
"Новамедика №23","23","Чашники","ул. Советская, д. 24А-3","+375213362618","Пн-Пт 9.00-17.00; Сб/Вс - выходной"
"Новамедика №24","24","Новое Поле","ул. Студенческая, д. 1/2","+375173801166","Пн-Пт 9.00-17.00; Сб/Вс - выходной"
"Новамедика №25","25","Минск","ул. Горецкого, д. 43-12","+375173635633;+375173795471","Пн-Пт 9.00-20.00; Сб-Вс 10.00-18.00"
"Новамедика №26","26","Минск","ул. Брестская, д. 75","+375172761181","Пн-Пт 9.00-21.00; Сб 10.00-18.00; Вс 10.00-16.00"
"Новамедика №27","27","Минск","пер. Тимошенко 2-ой, д. 3-235","+375173702419","Пн-Пт 9.00-21.00; Сб-Вс 10.00-18.00"
